tidak_baku,kata_baku
Haramm,haram
tdk,tidak
kagak,tidak
lakuin,lakukan
gimana,bagaimana
bner,benar
dukcapil,Dukcapil
ngaco,ngawur
bbrp,beberapa
Lbh,Lebih
simple,simpel
tiba2,tiba-tiba
cahsless,cashless
best,terbaik
dab,dan
toup,top-up
Smoga,Semoga
lbih,lebih
dri,dari
sbelumnya,sebelumnya
skrng,sekarang
sdh,sudah
skrng,sekarang
antri nya,antriannya
dab,dan
mw,mau
skrng,sekarang
rbu,ribu
Makasih,Terima kasih
bgt,banget
Keluahannya,Keluhannya
klo,kalau
ngecek,mengecek
ngeBUG,bug
sering eror,sering error
kepblokir,terblokir
BNI ku,BNI ku
bgt,banget
g,tidak
no deby,nomor debit
uptude,update
loadingx,loading nya
APL,Aplikasi
ngg,tidak
Payahh,Payah
ngak,tidak
tf,transfer
dri,dari
rek,rekening
uangny,uangnya
ny,nya
mohonn,mohon
bntuanny,bantuannya
gmn,gimana
nge bug,nge-bug
dihalaman,di halaman
di suruh,disuruh
ga cukup,tidak cukup
Ko,Kok
gk,tidak
trmksh,terima kasih
bhkan,bahkan
traksaksi,transaksi
klo,kalau
dh,sudah
barulah update,baru update
n lengkap,dan lengkap
trx,transaksi
dgn,dengan
riwayatx,riwayatnya
the best,terbaik
pt tmpt,perusahaan tempat
bs,bisa
pke,pakai
bnk,bank
laen,lain
mls,malas
lma,lama
kerja ny,kerjanya
cmn,cuma
aj,aja
updrade,upgrade
sagat,sangat
mmbantu,membantu
hrs,harus
tmpat,tempat
apk,aplikasi
sm,sama
dr,dari
scent,scan
ngambil,mengambil
accaount,account
KLO,Kalau
baguss,bagus
m.baking,m-banking
transakasi,transaksi
ribet rumit,rumit
gk,tidak
dlm,dalam
trnsaksi,transaksi
vermuk,verifikasi muka
erorr,error
aplnya,aplikasinya
semenjakan,semenjak
g dpt,tidak dapat
udh,sudah
e-statement,e Statement
klo,kalau
biar,agar
gakjelas,tidak jelas
mantaf,mantap
tp,tapi
mengoperasikanya,mengoperasikannya
update bgt,sangat update
okee,oke
Untung detail,Untuk detail
baguss,bagus
di pahami,dipahami
yg,yang
ber transaksi,bertransaksi
membatu,membantu
mantappppp,mantap
mobile tunainya,mobile tunai
Bag nya,Bug-nya
blom,belum
cma,cuma
klo,kalau
apk,aplikasi
sat set,sat-set
fitunya,fiturnya
antu,atau
pembeliam,pembelian
mudahj,mudah
simple,simpel
ga ngadatan,tidak ngadat
gak,tidak
ngebantu bgt,ngebantu banget
gabisa,tidak bisa
ajg,anjing
ribet'in,ribetin
ga jelasss,tidak jelas
tf,transfer
teroecaya,terpercaya
kalai,kalau
ribett,ribet
terahir,terakhir
screnshot,screenshot
seken,scan
ampek,sampai
masok,masuk
solusi nya,solusinya
Paan,Apa
bae,saja
GX,etidak
Simple,Simpel
sie,sih
cma,cuma
kaya,kayak
gajelas,tidak jelas
bgt,banget
munkin,mungkin
PROMO,promo
Cobadulu,Coba dulu
ngak,etidak
mentok,macet
apk,aplikasi
hbs,habis
gabisa,gak bisa
hadeh,haduh
yeyy,yey
krena,karena
mmbantu,membantu
dlm,dalam
mndukung,mendukung
skrg,sekarang
tlong,tolong
d perbaiki,diperbaiki
apl,aplikasi
yg,yang
ribet,rumit
visa,bisa
d perhatikan,diperhatikan
trobel,trouble
msih,masih
bgus,bagus
bnyak,banyak
trus,terus
cpt,cepat
blom,belum
mulu,melulu
eror,error
trss,terus
jdi,jadi
lbh,lebih
dr. Pd,daripada
yg,yang
kek,seperti
ky,kayak
ntk,untuk
